pH,R,G,B,H,S,V,Total Polyphenol Content
5.55,146,145,100,58.7,28.1,62.7,531.0218978
5.47,170,180,161,100,9.4,71,368.1569343
5.53,154,168,167,174,6,65.5,180.6569343
5.33,146,149,121,66.9,18.2,58.4,336.6788321
5.32,154,161,149,92.8,9.3,63.7,399.6350365
5.32,155,169,168,180,8.3,65.9,190.2372263
5.37,126,129,96,66.2,24.8,47.1,507.7554745
5.42,131,141,125,92,10.9,52.9,318.8868613
5.46,136,149,151,184.6,11.2,57.3,147.810219
5.32,157,152,109,57.3,32.8,61.2,469.4343066
5.33,141,146,122,73.6,15.9,56.1,286.040146
5.28,152,175,173,168,8.5,68.2,110.8576642
5.32,138,136,82,56.3,37.2,50.6,437.9562044
5.48,144,152,137,86.3,10.4,60.8,335.310219
5.48,154,165,161,158.2,6.7,64.3,127.2810219
5.35,139,141,100,61.5,27.8,56.6,380.4744526
5.38,138,145,126,86.2,12.6,56.1,224.4525547
5.43,137,148,142,147.2,7.4,58.4,150.5474453
5.35,127,128,89,57.2,34.9,49.8,425.6386861
5.39,130,139,117,83.3,11.12,56.7,186.1313869
5.48,134,145,144,147.3,7,55.7,72.53649635
5.36,150,188,205,209,17.1,66.3,617.2445255
5.36,141,145,119,70,20.5,56.1,220.3467153
5.51,145,160,156,147.7,6.8,62.7,127.2810219
5.33,147,138,75,53.1,47.9,56.1,711.6788321
5.44,140,149,117,65.9,20.8,57.6,324.3613139
5.46,151,168,156,107.1,6.5,66.7,80.74817518
5.33,141,139,95,60,35.7,56.5,537.8649635
5.38,152,158,129,68.9,17.5,60.8,188.8686131
5.35,146,158,157,174,7.6,61,132.7554745
5.25,134,128,71,56.9,46.2,51,628.1934307
5.33,151,156,123,70,17.3,61.8,277.8284672
5.36,143,150,138,114.5,6.5,60.4,47.90145985
5.53,138,133,83,56.7,39.4,53.7,825.2737226
5.58,142,143,102,69.5,21.7,56.9,295.620438
5.48,135,148,133,120,7.4,56.1,101.2773723
5.36,158,161,131,54.5,42.6,57.6,477.6459854
5.44,139,144,115,70,20.7,56.9,280.5656934
5.52,147,159,157,136.4,7.2,40,32.84671533
5.35,144,140,116,54.4,46,1.57,755.4744526
5.38,152,153,123,61.9,21.3,57.6,182.0255474
5.51,137,146,135,114.4,10.5,52.9,109.4890511
5.46,139,136,87,57.6,37.8,50.6,580.2919708
5.37,134,140,123,91.8,11.2,58.8,253.1934307
5.5,135,145,140,179,7.1,55.7,108.120438
5.58,140,131,76,51.8,49.6,50.2,533.7591241
5.44,149,153,122,65.8,21.5,60,269.6167883
5.56,60,166,169,190,9,58.4,30.10948905
5.57,134,129,79,52.9,49.2,49,479.0145985
5.41,140,141,112,73.8,16.8,54.9,402.3722628
5.57,146,158,149,132,12.9,60.4,136.8613139
5.52,132,133,94,60,31.7,48.6,626.8248175
5.43,124,131,106,69.6,19.8,55.7,357.2080292
5.6,137,148,145,190.6,12.8,55.3,73.90510949
5.49,137,131,70,54.5,48.2,53.3,715.9442724
5.61,138,142,117,66.9,24.3,54.9,429.5665635
5.46,141,154,156,180,9.8,55.7,65.78947368
5.38,144,141,90,56.7,37.5,56.5,671.0526316
5.46,142,145,114,65.8,21.4,56.9,720.5882353
5.63,137,145,132,96.9,9,56.9,285.6037152
5.4,143,141,102,57.1,28.7,56.1,525.5417957
5.47,137,141,116,69.6,17.7,55.3,389.3188854
5.56,138,147,144,160,6.1,57.6,200.4643963
5.36,142,134,71,53.2,50,55.7,675.6965944
5.44,141,141,103,60,27,55.3,363.003096
5.56,134,141,123,83.3,12.8,55.3,188.0804954
5.34,148,142,84,54.4,43.2,58,599.8452012
5.45,148,149,115,61.8,22.8,58.4,220.5882353
5.55,152,157,135,73.6,14,61.6,112.2291022
5.36,153,148,93,55,39.2,60,352.1671827
5.43,149,147,109,57,26.8,58.4,215.9442724
5.55,148,153,133,75,13.1,60,192.7244582
5.37,142,136,84,53.8,40.8,55.7,282.5077399
5.41,150,148,109,57.1,27.3,58.8,267.0278638
5.55,136,144,129,92,10.4,56.5,161.7647059
5.35,148,140,78,53.1,47.3,58,541.0216718
5.42,131,127,82,55.1,37.4,51.4,291.7956656
5.6,139,143,118,59.6,17.5,56.1,180.3405573
5.37,125,114,52,51,58.4,49,797.9876161
5.48,140,136,89,55.3,36.4,54.9,274.7678019
5.63,142,149,131,83.3,12.1,58.4,109.1331269
5.41,143,138,83,55,42,56.1,708.2043344
5.44,134,138,105,67.3,23.9,54.1,
5.56,133,143,134,126,7,56.1,200.4643963
5.34,135,115,42,47.1,68.9,52.9,513.1578947
5.46,135,125,72,50.5,46.7,52.9,276.3157895
5.63,139,144,124,75,13.9,56.5,188.0804954
5.32,140,122,48,48.3,65.7,54.9,805.7275542
5.45,132,128,80,55.4,39.4,51.8,70.43343653
5.59,136,143,127,86.2,11.2,56.1,99.84520124
5.29,119,96,26,45.2,78.2,46.7,1349.071207
5.45,113,102,48,49.8,57.5,44.3,726.7801858
5.71,136,140,107,67.3,23.6,54.9,119.9690402
5.29,106,86,25,45.2,76.4,41.6,1202.012384
5.44,116,103,50,48.2,56.9,45.5,373.8390093
5.65,142,141,110,58.1,22.5,55.7,110.6811146
5.28,98,76,26,41.7,73.5,38.4,1403.250774
5.48,119,108,54,49.8,54.6,46.7,406.3467492
5.71,143,147,122,69.6,17,57.6,58.0495356
